frame_index,timestamp_ms
1108,19117.3
1109,19134.6
1110,19151.1
1111,19167.1
1112,19184.1
1113,19200.9
1114,19216.2
1115,19233.4
1116,19253.8
1117,19267.4
1118,19284.2
1119,19301.4
1120,19315.8
1121,19333.8
1122,19350.8
1123,19366
1124,19383.9
1125,19399.3
1126,19416.8
1127,19433.2
1128,19453.1
1129,19467.1
1130,19485.1
1131,19499.2
1132,19516.2
1133,19534
1134,19551.6
1135,19565.5
1136,19583.1
1137,19603.7
1138,19615.8
1139,19632.6
1140,19651.6
1141,19668.2
1142,19687.6
1143,19700
1144,19718.8
1145,19734.1
1146,19751.4
1147,19767.7
1148,19783.3
1149,19801.7
1150,19815.4
1151,19832.4
1152,19850.9
1153,19865.9
1154,19884.8
1155,19898.7
1156,19917
1157,19931.7
1158,19949.6
1159,19965.4
1160,19981.9
1161,19999.2
1162,20016.9
1163,20033.9
1164,20050.9
1165,20066.5
1166,20083.3
1167,20099.5
1168,20115.7
1169,20133.4
1170,20150.1
1171,20166.3
1172,20181.8
1173,20201
1174,20216.1
1175,20233.4
1176,20248.9
1177,20271.1
1178,20283.4
1179,20297.4
1180,20315.6
1181,20333.7
1182,20350.9
1183,20366.9
1184,20384.5
1185,20398.6
1186,20416.5
1187,20432.2
1188,20451.3
1189,20467.5
1190,20485.6
1191,20499.4
1192,20516.4
1193,20530.9
1194,20548.5
1195,20564.8
1196,20583
1197,20597.9
1198,20616.7
1199,20633.3
1200,20646.8
1201,20668.4
1202,20681.8
1203,20699.2
1204,20716.6
1205,20732.8
1206,20748.3
1207,20765.2
1208,20783.7
1209,20799.5
1210,20815.8
1211,20834.3
1212,20858.8
1213,20870.5
1214,20885.9
1215,20898
1216,20916.6
1217,20931.1
1218,20948.6
1219,20966.1
1220,20981.6
1221,20999.4
1222,21015.5
1223,21032.5
1224,21049.5
1225,21066.3
1226,21089.5
1227,21099.4
1228,21119.4
1229,21138.1
1230,21148.4
1231,21164.5
1232,21184.3
1233,21198
1234,21216.4
1235,21230.6
1236,21250.3
1237,21267.9
1238,21288.2
